Time (s),anat_pos_1,anat_pos_2,anat_pos_3,anat_pos_4,anat_pos_5,robo_pos_1,robo_pos_2,robo_pos_3,robo_pos_4,robo_pos_5,anat_vel_1,anat_vel_2,anat_vel_3,anat_vel_4,anat_vel_5,robo_vel_1,robo_vel_2,robo_vel_3,robo_vel_4,robo_vel_5
0.134541,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.13554,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.136541,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.137544,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.138544,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.140151,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.141162,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.142164,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.143211,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.144214,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.145207,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.146206,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.147202,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.148209,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.149772,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.151188,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.152163,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.153769,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.15489,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.156166,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.157174,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.158162,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.1599,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.160396,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.162396,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.162801,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.163798,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
0.164798,-0.346117,-0.0142355,-0.172595,-0.210274,0.108992,-0.346117,-0.0142355,0.130323,0.123355,0.10972,0,0,0,0,0,0,0,0,0,0
